STATE,WHSE,DATE,SUPPLIER,BLOCK,BLOCK LOC,TRK,WT,SKS,MC,GRIT,ASTM,JIS,VM,ASH,FC,REMARKS,PHP/KG,PHP TTL,MC WTD,GRIT WTD,ASTM WTD,JIS WTD,VM WTD,ASH WTD,FC WTD,CLEAN_BLOCK
CLOSED,WHSE A,44958,2023 BACKLOG,FEB-23-BLK5,A-20A,,64720,,10,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.7,1274984,647200,0,0,0,0,0,0,FEB-23-BLK5
CLOSED,WHSE A,44958,2023 BACKLOG,FEB-23-BLK6,A-17B,,67240,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.75,1327990,806880,0,0,0,0,0,0,FEB-23-BLK6
CLOSED,WHSE A,44986,2023 BACKLOG,MAR-23-BLK1,A-18B,,74410,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.75,1469597.5,892920,0,0,0,0,0,0,MAR-23-BLK1
CLOSED,WHSE A,44986,2023 BACKLOG,MAR-23-BLK3,A-19B,,62510,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.75,1234572.5,750120,0,0,0,0,0,0,MAR-23-BLK3
CLOSED,WHSE A,44986,2023 BACKLOG,MAR-23-BLK2,A-20B,,70431,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.58,1379038.98,845172,0,0,0,0,0,0,MAR-23-BLK2
CLOSED,WHSE A,44986,2023 BACKLOG,MAR-23-BLK4,A-17C,,74870,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.64,1470446.8,898440,0,0,0,0,0,0,MAR-23-BLK4
CLOSED,WHSE A,45017,2023 BACKLOG,APR-23-BLK1,A-18C,,82045,,11.8,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.75,1620388.75,968131,0,0,0,0,0,0,APR-23-BLK1
CLOSED,WHSE A,45017,2023 BACKLOG,APR-23-BLK2,A-19C,,74195,,12.5,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.62,1455705.9,927437.5,0,0,0,0,0,0,APR-23-BLK2
CLOSED,WHSE A,44986,2023 BACKLOG,MAR-23-BLK5,A-20C,,74151,,13,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,19.6,1453359.6,963963,0,0,0,0,0,0,MAR-23-BLK5
,WHSE B,45200,2023 BACKLOG,OCT-23-BLK1,B-1A,,70120,,11.5,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,17.43,1222191.6,806380,0,0,0,0,0,0,OCT-23-BLK1
,WHSE B,45200,2023 BACKLOG,OCT-23-BLK2,B-2A,,69760,,14.4,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,17.43,1215916.8,1004544,0,0,0,0,0,0,OCT-23-BLK2
,WHSE B,45200,2023 BACKLOG,OCT-23-BLK3,B-3A,,59860,,11.6,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,17.41,1042162.6,694376,0,0,0,0,0,0,OCT-23-BLK3
,WHSE B,45170,2023 BACKLOG,SEPT-23-BLK4,B-4A,,64037,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,17.5,1120647.5,768444,0,0,0,0,0,0,SEPT-23-BLK4
,WHSE B,45170,2023 BACKLOG,SEPT-23-BLK2,B-5A,,70612,,12,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,17.43,1230767.16,847344,0,0,0,0,0,0,SEPT-23-BLK2
,WHSE B,45170,2023 BACKLOG,SEPT-23-BLK1,B-1B,,78467,,14,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,17.31,1358263.77,1098538,0,0,0,0,0,0,SEPT-23-BLK1
,WHSE B,45139,2023 BACKLOG,AUG-23-BLK5,B-2B,,77540,,11,,,,,,,WT'D AVERAGE PRICE BASED ON '23 LIQUIDATION,17.99,1394944.6,852940,0,0,0,0,0,0,AUG-23-BLK5
